Serial	Description	Category
n09700964	"Britisher, Briton, Brit"	n09686536
n09702673	Angle	n09686536
n09702836	Saxon	n09686536
n09703181	Jute	n09686536
n09703344	"Lombard, Langobard"	n09686536
n09705671	Amhara	n09705124
n09705784	Eritrean	n09705124
n09706029	Finn	n09686536
n09706255	Komi	n09728403
n09706396	"Cheremis, Cheremiss, Mari"	n09728403
n09706548	"Ingrian, Inger, Ingerman"	n09728403
n09706746	"Karelian, Carelian"	n09728403
n09706911	"Ostyak, Khanty"	n09728403
n09707166	Latvian	n09686536
n09707289	Lithuanian	n09686536
n09707400	"Mordva, Mordvin, Mordvinian"	n09728403
n09707587	Nganasan	n09728403
n09707735	"Selkup, Ostyak-Samoyed"	n09728403
n09707887	Samoyed	n09728403
n09707992	"Veps, Vepse, Vepsian"	n09728403
n09708118	"Vogul, Mansi"	n09728403
n09708247	Yeniseian	n09728403
n09708405	"Frenchman, Frenchwoman, French person"	n09686536
n09709332	Balkan	n09686536
n09709531	Creole	n09738708
n09709673	Creole	n09738400
n09709795	Cretan	n09686536
n09710164	"Greek, Hellene"	n09686536
n09711978	Theban	n09700492
n09712090	Thracian	n09686536
n09712696	"Malay, Malayan"	n09641757
n09712967	Moro	n09727440
n09713108	"Netherlander, Dutchman, Hollander"	n09686536
n09713501	"Hindu, Hindoo, Hindustani"	n09641757
n09713764	"Hmong, Miao"	n09641757
n09713985	"Hungarian, Magyar"	n09686536
n09714120	Icelander	n09686536
n09714264	Indonesian	n09641757
n09714429	"Irani, Iranian, Persian"	n09641757
n09714694	"Iraqi, Iraki"	n09641757
n09714952	"Irish person, Irelander"	n09686536
n09715685	Israelite	n09641757
n09715833	Israeli	n09641757
n09716047	Italian	n09686536
n09717047	Roman	n09686536
n09718217	"Japanese, Nipponese"	n09641757
n09718811	Jordanian	n09641757
n09718936	Korean	n09641757
n09719653	Kuwaiti	n09641757
n09719794	"Lao, Laotian"	n09641757
n09720033	"Lapp, Lapplander, Sami, Saami, Same, Saame"	n09686536
n09720256	"Latin American, Latino"	n09738400
n09720595	Lebanese	n09641757
n09721088	Liechtensteiner	n09686536
n09721244	"Luxemburger, Luxembourger"	n09686536
n09721444	Macedonian	n09686536
n09721883	Malaysian	n09641757
n09722159	"Maldivian, Maldivan"	n09641757
n09723361	Moor	n09682291
n09723944	Nauruan	n09691435
n09724066	"Nepalese, Nepali"	n09641757
n09725000	"Hausa, Haussa"	n09724785
n09725229	North American	n09738400
n09725402	"Norwegian, Norseman, Norse"	n09686536
n09725772	Pakistani	n09641757
n09726374	Parthian	n09641757
n09726970	"Quechua, Kechua"	n09726621
n09727627	Pole	n09686536
n09727826	Polynesian	n09691435
n09728009	Portuguese	n09686536
n09728285	"Romanian, Rumanian"	n09686536
n09728850	Great Russian	n09728403
n09729062	Muscovite	n09728403
n09729156	Georgian	n09728403
n09729530	"Arab, Arabian"	n09639919
n09729945	San Marinese	n09686536
n09730204	"Scandinavian, Norse, Northman"	n09686536
n09730533	"Scot, Scotsman, Scotchman"	n09686536
n09731082	Siberian	n09728403
n09731343	Slovene	n09686536
n09731571	South American	n09738400
n09731906	Spaniard	n09686536
n09732047	"Sinhalese, Singhalese"	n09641757
n09732441	Swede	n09686536
n09733028	Sherpa	n09641757
n09733459	Syrian	n09641757
n09733899	Taiwanese	n09641757
n09734006	"Tajik, Tadzhik"	n09641757
n09734294	"Thai, Tai, Siamese"	n09641757
n09734450	Tibetan	n09641757
n09735023	Tyrolean	n09686536
n09735258	Turki	n09641757
n09736181	Kazakhstani	n09641757
n09737050	Ukranian	n09686536
n09737981	Edo	n09724785
n09738275	Yoruba	n09724785
n09740085	American Revolutionary leader	n10346198
n09740724	Anglo-American	n09738708
n09740856	"Alabaman, Alabamian"	n09738708
n09740954	Alaskan	n09738708
n09741233	"Arizonan, Arizonian"	n09738708
n09741331	"Arkansan, Arkansawyer"	n09738708
n09741432	Bay Stater	n09738708
n09741526	Bostonian	n09738708
n09741612	Californian	n09738708
n09741722	Carolinian	n09738708
n09741816	Coloradan	n09738708
n09741904	Connecticuter	n09738708
n09741999	"Delawarean, Delawarian"	n09738708
n09742101	Floridian	n09738708
n09742188	Franco-American	n09738708
n09742315	German American	n09738708
n09742443	Georgian	n09738708
n09742569	Hawaiian	n09738708
n09742844	Idahoan	n09738708
n09742927	Illinoisan	n09738708
n09743016	"Indianan, Hoosier"	n09738708
n09743112	Iowan	n09738708
n09743192	Kansan	n09738708
n09743275	"Kentuckian, Bluegrass Stater"	n09738708
n09743383	"Louisianan, Louisianian"	n09738708
n09743487	"Mainer, Down Easter"	n09738708
n09743601	Marylander	n09738708
n09743690	"Michigander, Wolverine"	n09738708
n09743792	"Minnesotan, Gopher"	n09738708
n09743891	Mississippian	n09738708
n09743986	Missourian	n09738708
n09744075	Montanan	n09738708
n09744161	"Nebraskan, Cornhusker"	n09738708
n09744262	Nevadan	n09738708
n09744346	"New Hampshirite, Granite Stater"	n09738708
n09744462	"New Jerseyan, New Jerseyite, Garden Stater"	n09738708
n09744587	New Mexican	n09738708
n09744679	New Yorker	n09738708
n09744834	"North Carolinian, Tarheel"	n09738708
n09744945	North Dakotan	n09738708
n09745041	"Ohioan, Buckeye"	n09738708
n09745132	"Oklahoman, Sooner"	n09738708
n09745229	"Oregonian, Beaver"	n09738708
n09745324	"Pennsylvanian, Keystone Stater"	n09738708
n09745438	Rhode Islander	n09738708
n09745535	South Carolinian	n09738708
n09745636	South Dakotan	n09738708
n09745732	"Tennessean, Volunteer"	n09738708
n09745834	Texan	n09738708
n09745933	Utahan	n09738708
n09746014	Vermonter	n09738708
n09746101	Virginian	n09738708
n09746189	Washingtonian	n09738708
n09746314	Washingtonian	n09738708
n09746438	West Virginian	n09738708
n09746536	"Wisconsinite, Badger"	n09738708
n09746637	Wyomingite	n09738708
n09746725	Puerto Rican	n09738708
n09746819	"Yankee, Yank, Yankee-Doodle"	n09738708
n09747191	"Vietnamese, Annamese"	n09641757
n09747329	"Welshman, Welsh, Cambrian, Cymry"	n09686536
n09747618	Maltese	n09686536
n09747722	German	n09686536
n09749011	Gibraltarian	n09686536
n09749614	Singaporean	n09641757
n09749753	Slovenian	n09686536
n09750046	Sri Lankan	n09641757
n09750524	"Trojan, Dardan, Dardanian"	n09641757
n09750891	"Yugoslav, Jugoslav, Yugoslavian, Jugoslavian"	n09686536
n09755086	"abstractor, abstracter"	n10794014
n09755398	absolutist	n10016103
n09755788	abecedarian	n10363913
n09756637	"abolitionist, emancipationist"	n10515194
n09757836	AWOL	n09757653
n09758643	"abuser, maltreater"	n09633969
n09759311	"academician, schoolman"	n10557854
n09760735	accommodation endorser	n10057271
n09761068	"accomplice, confederate"	n09815790
n09761403	"accountant, comptroller, controller"	n09882716
n09761753	"account executive, account representative, registered representative, customer's broker, customer's man"	n09882716
n09762101	"defendant, suspect"	n10266848
n09763272	acid head	n10162780
n09763668	acoustician	n10428004
n09764381	acrobat	n09820263
n09765118	active citizen	n09923673
n09765278	"actor, histrion, player, thespian, role player"	n10415638
n09768753	adder	n09887034
n09769345	addressee	n09627906
n09769803	adjunct	n09816771
n09769929	"adjuster, adjustor, claims adjuster, claims adjustor, claim agent"	n10215623
n09770472	"administrator, executive"	n10162991
n09770949	"administrator, decision maker"	n10162991
n09771855	"admonisher, monitor, reminder"	n09614684
n09772746	"adulterer, fornicator"	n10257647
n09773076	advancer	n10335931
n09773962	"advertiser, advertizer, adman"	n10490699
n09774266	"adviser, advisor, consultant"	n09824361
n09776186	aerophile	n10077593
n09776346	affiliate	n09816771
n09776522	affine	n10236304
n09776807	aficionado	n10077593
n09777012	"agent, factor, broker"	n09882716
n09778537	"aggravator, annoyance"	n09631463
n09778676	aggressor	n10209082
n09778783	"agitator, fomenter"	n10731244
n09779790	"agriculturist, agriculturalist, cultivator, grower, raiser"	n10078806
n09780249	"aide, auxiliary"	n09815790
n09781804	alcalde	n10225219
n09782589	"Aleut, Aleutian"	n09645091
n09782730	Alexandrian	n10523519
n09783369	alienator	n09631463
n09783537	"alienee, grantee"	n09627906
n09783776	alienor	n10143889
n09783884	"aliterate, aliterate person"	n10198958
n09784043	algebraist	n10301261
n09784443	alleviator	n10707233
n09785042	"ally, friend"	n09816771
n09786338	"alumnus, alumna, alum, graduate, grad"	n10557854
n09786760	amateur	n09820263
n09787293	"amazon, virago"	n10787470
n09787390	maenad	n10787470
n09787765	ambassador	n10638385
n09789150	amoralist	n10016103
n09789304	amorist	n10077593
n09790666	credit analyst	n09791530
n09790865	"financial analyst, securities analyst"	n09791530
n09791014	industry analyst	n09791530
n09791248	market analyst	n09791530
n09791419	market strategist	n10661563
n09792125	"anathema, bete noire"	n09631463
n09792896	ancestress	n09792555
n09793248	"ancient, antediluvian"	n10376523
n09794081	angler	n10556518
n09794211	"anglophile, anglophil"	n10677713
n09794668	animist	n10016103
n09794917	annihilator	n10008716
n09795010	annotator	n10369528
n09795124	announcer	n09875786
n09795556	annuitant	n09627906
n09795751	"anorexic, anorectic"	n10595647
n09796185	"anthropoid, ape"	n10322238
n09796323	anthropologist	n10619642
n09797113	"anticipator, anticipant"	n10756433
n09797257	antinomian	n10016103
n09797998	ape-man	n10781684
n09798811	Apostle	n09678009
n09799213	"Apostle, Apostelic Father"	n09678009
n09799808	Appalachian	n09738708
n09800469	"appellant, plaintiff in error"	n10266848
n09801275	April fool	n09884666
n09801371	"aquanaut, oceanaut"	n10605985
n09801864	"apprentice, learner, prentice"	n10363913
n09802951	Arabist	n10557854
n09803060	"Aramean, Aramaean"	n09639919
n09807609	arianist	n09678009
n09808080	"Aristotelian, Aristotelean, Peripatetic"	n10016103
n09808351	arithmetician	n10301261
n09808466	armchair liberal	n10256756
n09808949	"armorer, armourer"	n10605985
n09812068	illustrator	n09812338
n09813126	artiste	n10415638
n09813351	art student	n10665698
n09813522	ascender	n10335931
n09813632	ass	n10100761
n09814084	assassin	n09682291
n09814252	assayer	n09790482
n09814567	assenter	n10524413
n09815188	"asshole, bastard, cocksucker, dickhead, shit, mother fucker, motherfucker, prick, whoreson, son of a bitch, SOB"	n09631463
n09818343	"astronomer, uranologist, stargazer"	n10428004
n09820044	atheist	n10015897
n09821086	attache	n10631941
n09821253	"attacker, aggressor, assailant, assaulter"	n09633969
n09821831	"attendant, attender, tender"	n09815790
n09823153	auditor	n10665698
n09823502	"aunt, auntie, aunty"	n10237069
n09823683	au pair	n10103485
n09824065	authoress	n10794014
n09826204	"aviator, aeronaut, airman, flier, flyer"	n10605985
n09826945	ayatollah	n10519494
n09827246	"babu, baboo"	n10287213
n09827519	baby	n10373998
n09829798	"bacchant, bacchanal"	n10077593
n09829923	"bachelor, unmarried man"	n10287213
n09830080	"bachelor girl, bachelorette"	n10787470
n09831057	backseat driver	n10305192
n09831411	bacteriologist	n09855630
n09832456	baggage	n10787470
n09832633	bag lady	n10182190
n09833441	bairn	n09917593
n09833536	"baker, bread maker"	n10605985
n09834159	ball boy	n10285313
n09834258	"ball-buster, ball-breaker"	n10787470
n09835230	ball hawk	n09820263
n09835348	balloonist	n10605985
n09835506	"ballplayer, baseball player"	n10439851
n09836057	bulimic	n10595647
n09837824	banker	n10090020
n09838370	"bankrupt, insolvent"	n10273064
n09838511	bantamweight	n09870208
n09838621	bantamweight	n10793168
n09839167	bargainer	n10351874
n09840639	"baronet, Bart"	n09807754
n09840871	"barrator, barrater"	n09633969
n09841188	"bartender, barman, barkeep, barkeeper, mixologist"	n10053808
n09842047	"basketball player, basketeer, cager"	n09820263
n09842288	"basketweaver, basketmaker"	n10284064
n09842823	"bastard, by-blow, love child, illegitimate child, illegitimate, whoreson"	n10373998
n09843443	bat boy	n09815790
n09843824	"baton twirler, twirler"	n10415638
n09844566	bawler	n10773126
n09844898	"beadsman, bedesman"	n10464052
n09845191	bear	n10216106
n09845849	"beatnik, beat"	n09957834
n09846355	bedfellow	n09816771
n09846755	"beekeeper, apiarist, apiculturist"	n10078806
n09848110	theist	n09847727
n09848285	"Taoist, Tao"	n10016103
n09848489	"believer, truster"	n10677713
n09849801	belt maker	n10284064
n09850121	"beneficiary, donee"	n09627906
n09850642	berk	n10667187
n09850974	besieger	n10055847
n09851087	besieger	n10420031
n09851719	better	n10676018
n09852081	taker	n09851876
n09852289	bey	n10287213
n09852430	"B-girl, bar girl"	n10787470
n09852558	bibliographer	n10557854
n09852679	"bibliophile, booklover, book lover"	n10557854
n09853305	bigamist	n10640620
n09853645	bigot	n10402086
n09853881	"big shot, big gun, big wheel, big cheese, big deal, big enchilada, big fish, head honcho"	n10200781
n09854421	billiard player	n10439851
n09854915	biochemist	n09913824
n09855433	biographer	n10794014
n09856267	biophysicist	n10428004
n09856827	"birth-control campaigner, birth-control reformer"	n10515194
n09859285	blade	n10804406
n09860940	blubberer	n10773126
n09861599	"bluestocking, bas bleu"	n10787470
n09863031	"bodyguard, escort"	n09614684
n09863238	body servant	n10582154
n09863339	boffin	n10523076
n09863500	bohemian	n09957834
n09863620	Bohemian	n09686536
n09864761	bondholder	n10180178
n09864968	"bondman, bondsman"	n09865398
n09865162	"bondwoman, bondswoman, bondmaid"	n09865398
n09865279	"bondsman, bondswoman"	n09608709
n09866354	bookmaker	n10284064
n09867437	"bore, dullard"	n09631463
n09867633	borrower	n09627906
n09867818	born-again Christian	n09678009
n09867956	"boss, hirer"	n10054657
n09868157	Boswell	n10677713
n09868270	"botanist, phytologist, plant scientist"	n09855630
n09868899	boulevardier	n10757193
n09869961	bowler	n10439851
n09870926	boy	n10287213
n09871095	"slugger, slogger"	n09870208
n09871229	"cub, lad, laddie, sonny, sonny boy"	n10285313
n09871580	ex-boyfriend	n10287213
n09872782	"brahman, brahmin"	n09807754
n09872996	"brainworker, brain-worker"	n10708454
n09873604	"breaker, ledgeman"	n10498551
n09874118	"brewer, beer maker"	n10284064
n09874862	"bridesmaid, maid of honor"	n10787470
n09875663	broad	n10787470
n09875979	broadcast journalist	n09875786
n09877288	brother-in-law	n10207169
n09877587	browser	n10633450
n09878275	"builder, constructor"	n09960891
n09878702	"bull, bruiser, strapper, Samson"	n10287213
n09878921	bull	n10216106
n09879744	"bungler, blunderer, fumbler, bumbler, stumbler, sad sack, botcher, butcher, fuckup"	n10202363
n09881265	bursar	n10727256
n09882007	"businessman, man of affairs"	n09882716
n09882615	businesswoman	n09882716
n09883740	buster	n09917593
n09883807	"busybody, nosy-parker, nosey-parker, quidnunc"	n10305192
n09883947	"butch, dike, dyke"	n10254965
n09884133	"butcher, slaughterer"	n10605985
n09885059	buttinsky	n10305192
n09885334	bystander	n10633450
n09885416	"Cabalist, Kabbalist"	n10557854
n09885769	cabin boy	n10582154
n09886220	"cad, bounder, blackguard, dog, hound, heel"	n10753546
n09886700	"caffeine addict, caffein addict"	n09768830
n09886807	Cairene	n09700492
n09886911	caitiff	n09983214
n09887378	number cruncher	n09887034
n09887850	"caller, company"	n10757193
n09888429	caller	n09795334
n09888635	"caller, caller-out"	n09795334
n09888832	caller	n09851876
n09888978	caller	n10216106
n09889170	"calligrapher, calligraphist"	n10605985
n09889691	"campaigner, candidate, nominee"	n10450303
n09889941	camper	n10744164
n09890072	Campfire Girl	n10084295
n09890507	Canaanite	n09639919
n09890987	candy striper	n10759151
n09891079	"cannibal, man-eater, anthropophagus, anthropophagite"	n10553402
n09891470	"canoeist, paddler"	n09861946
n09891730	canonist	n10631941
n09891864	"cantor, hazan"	n09505153
n09892262	capitalist	n09957156
n09892410	capo	n10162991
n09894040	cardholder	n10180178
n09894654	card player	n10439851
n09895222	careerist	n10480253
n09898215	"cartographer, map maker"	n10127555
n09899438	"castaway, shipwreck survivor"	n09753930
n09899671	"casualty, injured party"	n10752093
n09899782	casualty	n10752093
